City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
521,Kutum,SD,79.43,Clear,14.2,24.6667,Dibbo areaمنطقة دبو
522,Gizo,SB,82.47,Rain,-8.103,156.8419,Imagination Island
525,Satrikh,IN,84.27,Clear,26.8667,81.2,TRC HOSTEL
527,Tawau,MY,77.63,Clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
531,Waingapu,ID,77.49,Clouds,-9.6567,120.2641,Pondok Wisata Elim
544,Bilma,NE,83.98,Clouds,18.6853,12.9164,Expeditions Ténére voyages
545,Xai-Xai,MZ,76.32,Clear,-25.0519,33.6442,Complexo da Familia
549,Aden,YE,80.31,Clear,12.7794,45.0367,Sama Emirate Hotel
560,Amahai,ID,77.52,Clouds,-3.3333,128.9167,HOTEL ISABELA
564,Manaus,BR,84.7,Clouds,-3.1019,-60.025,Manaus Hotéis Millennium
567,Mabaruma,GY,79.21,Clouds,8.2,-59.7833,Monty Brooms Guest House
572,Sambava,MG,76.71,Rain,-14.2667,50.1667,Melrose
575,Nueva Gerona,CU,85.1,Clear,21.8833,-82.8,Villa Gerona
576,Monrovia,LR,87.57,Clouds,6.3005,-10.7969,Sunset Inn
578,Kinablangan,PH,77.58,Clouds,7.6947,126.5503,Morales Eatery and Lodging House
582,Noumea,NC,82.0,Clear,-22.2763,166.4572,Hôtel Le Lagon
583,Caucaia,BR,82.04,Clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
586,Bitung,ID,76.05,Clouds,1.4451,125.1824,K2 Lembeh
588,Palasa,IN,77.92,Clear,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
594,Belawan,ID,79.09,Clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
597,Thaton,MM,80.42,Clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
598,Navolato,MX,84.63,Clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
607,Tutoia,BR,79.45,Rain,-2.7619,-42.2744,Pousada Guará's
618,Nova Venecia,BR,89.91,Clear,-18.7106,-40.4006,Hotel Ferrari - Rede Ferrari
623,Canutama,BR,79.3,Clouds,-6.5339,-64.3831,Hotel Jhennifer
625,Mana,GF,80.65,Clouds,5.6592,-53.7767,LE SAMANA
628,Savannah Bight,HN,82.29,Clouds,16.45,-85.85,Villa on Dunbar Rock
629,Benguela,AO,77.77,Clouds,-12.5763,13.4055,Hotel Praia Morena
635,Berberati,CF,83.73,Clouds,4.2612,15.7922,MAIRIE DE BERBERATI
637,Sai Buri,TH,76.82,Clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
638,Sehore,IN,86.34,Clear,23.2,77.0833,SPOT ON 42643 Hotel Jk Shree SPOT
639,Vanimo,PG,77.63,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
644,Chechat,IN,87.6,Clear,24.7667,75.8833,"Shri raghunath palace, hotal & restrorent"
646,Inhambane,MZ,76.77,Clear,-23.865,35.3833,Oceano
653,Puerto Colombia,CO,89.69,Clouds,10.9878,-74.9547,Hotel El Emigrante
655,Butterworth,MY,80.64,Clouds,5.3991,100.3638,Cititel Penang
656,Jibuti,DJ,75.6,Clear,11.5,42.5,Orchid Main Camp Goubet
661,Sinjai,ID,75.16,Clouds,-5.1241,120.253,Wisma Sandika
664,Port Blair,IN,80.64,Mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
673,Narasannapeta,IN,80.13,Clear,18.4167,84.05,AVK events and catering
678,Camacari,BR,87.57,Clouds,-12.6975,-38.3242,Sítio Blasi
682,Coahuayana,MX,85.35,Clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
684,Lockhart,US,88.27,Clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
685,Harper,LR,83.03,Rain,4.375,-7.7169,Screensaver
688,Nhulunbuy,AU,75.81,Clear,-12.2333,136.7667,East Arnhem Real Estate
693,Fare,PF,81.73,Clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
697,Daru,PG,76.28,Rain,-9.0763,143.2092,Daru Lodge
698,Ca Mau,VN,78.76,Clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
